SMILES,result_liv,result_lun,result_mgl
C1=CC2=NC=C(N2C=C1)C3=CC=C(O3)[N+](=O)[O-],0,0,1
C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,1,0,0
C1C(=O)NC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-],0,0,0
C1CC1CN2C(=O)CN=C(C3=C2C=CC(=C3)Cl)C4=CC=CC=C4,0,0,0
C1[C@@H]([C@@H]([C@H]([C@@H]([C@]1(CO)O)O)O)O)NC(CO)CO,0,0,0
CC(=O)N(C1=CC2=C(C=C1)C3=CC=CC=C3C2)O,1,0,1
CC(C)C(C1=CC=C(C=C1)Cl)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,0,0,0
CC1=C(C=C(C=C1)N=C=O)N=C=O,1,0,1
CC1=CC2=C(C=C1)C(=NC(=O)N2C(C)C)C3=CC(=CC=C3)O,0,0,0
CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C,1,0,1
CCCCC(C)(C/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)OC)O)O,0,0,0
C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,1,0,1
