,SMILES,liv,lun,sto,mgl,liv_reliability,lun_reliability,sto_reliability,mgl_reliability
0,C(/C=C/Cl)Cl,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
1,C(C(CBr)Br)O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
2,C(C(CBr)Br)OP(=O)(OCC(CBr)Br)OCC(CBr)Br,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
3,C(C(CCl)Cl)Cl,1.0,0.0,1.0,1.0,explicit,implicit,explicit,explicit
4,C(C(CO)(CBr)CBr)O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
5,C(C=CCl)Cl,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
6,C(CBr)Br,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
7,C(CCl)Cl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
8,C(CN(C(=O)N)N=O)CO,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
9,C(CO)N(C(=O)N)N=O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
10,C(Cl)(Cl)(Cl)Cl,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
11,C(Cl)Cl,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
12,C1(C(=C(C(=O)O1)Cl)C(Cl)Cl)O,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
13,C1=C(OC(=C1)[N+](=O)[O-])/C=C/C2=NOC(=N2)N,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
14,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)NNC=O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
15,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)Cl)Cl)N,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
16,C1=CC(=C(C=C1Cl)N)N,1.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
17,C1=CC(=CC=C1C2=CC=C(C=C2)N)N,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
18,C1=CC2=C(C(=C1)[N+](=O)[O-])N=CC=C2,0.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
19,C1=CC2=C3C(=C(C=C2)[N+](=O)[O-])C=CC4=C(C=CC1=C43)[N+](=O)[O-],1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
20,C1=CC=C(C=C1)CCN(C(=O)N)N=O,1.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
21,C1=CC=C(C=C1)CCl,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
22,C1=CC=C(C=C1)[N+](=O)[O-],1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
23,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3Br)Br)N,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
24,C1=CC=C2C(=C1)C3=C4[C@@]25[C@@H](O5)C(C(C4=CC=C3)O)O,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
25,C1=CC=C2C(=C1)C3=CC=CC4=C3C5=C2C6=C(C=C5C=C4)[C@H]([C@@H]([C@H]7[C@@H]6O7)O)O,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
26,C1=CC=C2C(=C1)C=CC3=C2C4=C(N3)C=CC5=CC=CC=C54,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
27,C1=CC=C2C(=C1)C=CC3=C2C=C(C4=CC=CC=C34)[N+](=O)[O-],1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
28,C1=CC=C2C(=C1)C=CC3=C4C=CC5=C(C4=C6C(=C32)O6)C(=C(C=C5)O)O,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
29,C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
30,C1=CC=C2C(=C1)C=CO2,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
31,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
32,C1=CC=CC=C1,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
33,C1=CN=CC=C1C(=O)NN,1.0,1.0,0.0,1.0,explicit,explicit,explicit,explicit
34,C1=COC(=C1)C(=CC2=CC=C(O2)[N+](=O)[O-])C(=O)N,0.0,0.0,1.0,1.0,explicit,implicit,explicit,explicit
35,C1C(O1)C2=CC=CC=C2,1.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
36,C1C(O1)CCl,0.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
37,C1C(O1)CO,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
38,C1C(O1)OC(=O)N,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
39,C1C2=CC=CC=C2C3=C1C=C(C=C3)N,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
40,C1C2=CC=CC=C2C3=C1C=C(C=C3)NC(=O)C(F)(F)F,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
41,C1C2=CC=CC=C2C3=C1C=C(C=C3)[N+](=O)[O-],1.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
42,C1CC2=CC=C(C3=CC=CC1=C23)[N+](=O)[O-],1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
43,C1CCCN(CC1)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
44,C1CCCN(CCC1)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
45,C1CCN(CC1)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
46,C1CN(CC=C1)N=O,1.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
47,C1CN(P(=O)(OC1)NCCCl)CCCl,0.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
48,C1COC(=O)N1N=O,1.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
49,C1COCCN1N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
