smiles,Class
C(/C=C/Cl)Cl,1
C(C(CBr)Br)O,1
C(C(CBr)Br)OP(=O)(OCC(CBr)Br)OCC(CBr)Br,1
C(C(CCl)Cl)Cl,1
C(C(CO)(CBr)CBr)O,1
C(C=CCl)Cl,1
C(CBr)Br,1
C(CCl)Cl,1
C(CN(C(=O)N)N=O)CO,1
C(CO)N(C(=O)N)N=O,1
C(Cl)(Cl)(Cl)Cl,0
C(Cl)Cl,0
C1(C(=C(C(=O)O1)Cl)C(Cl)Cl)O,0
C1=C(OC(=C1)[N+](=O)[O-])/C=C/C2=NOC(=N2)N,1
C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)NNC=O,1
C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)Cl)Cl)N,0
C1=CC(=C(C=C1Cl)N)N,1
C1=CC(=CC=C1C2=CC=C(C=C2)N)N,0
C1=CC2=C(C(=C1)[N+](=O)[O-])N=CC=C2,1
C1=CC2=C3C(=C(C=C2)[N+](=O)[O-])C=CC4=C(C=CC1=C43)[N+](=O)[O-],0
C1=CC=C(C=C1)CCN(C(=O)N)N=O,1
C1=CC=C(C=C1)CCl,1
C1=CC=C(C=C1)[N+](=O)[O-],0
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3Br)Br)N,1
C1=CC=C2C(=C1)C3=C4[C@@]25[C@@H](O5)C(C(C4=CC=C3)O)O,0
C1=CC=C2C(=C1)C3=CC=CC4=C3C5=C2C6=C(C=C5C=C4)[C@H]([C@@H]([C@H]7[C@@H]6O7)O)O,0
C1=CC=C2C(=C1)C=CC3=C2C4=C(N3)C=CC5=CC=CC=C54,1
C1=CC=C2C(=C1)C=CC3=C2C=C(C4=CC=CC=C34)[N+](=O)[O-],0
C1=CC=C2C(=C1)C=CC3=C4C=CC5=C(C4=C6C(=C32)O6)C(=C(C=C5)O)O,0
C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,1
C1=CC=C2C(=C1)C=CO2,1
C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,1
C1=CC=CC=C1,1
C1=CN=CC=C1C(=O)NN,0
C1=COC(=C1)C(=CC2=CC=C(O2)[N+](=O)[O-])C(=O)N,1
C1C(O1)C2=CC=CC=C2,1
C1C(O1)CCl,1
C1C(O1)CO,1
C1C(O1)OC(=O)N,0
C1C2=CC=CC=C2C3=C1C=C(C=C3)N,0
C1C2=CC=CC=C2C3=C1C=C(C=C3)NC(=O)C(F)(F)F,0
C1C2=CC=CC=C2C3=C1C=C(C=C3)[N+](=O)[O-],1
C1CC2=CC=C(C3=CC=CC1=C23)[N+](=O)[O-],0
C1CCCN(CC1)N=O,1
C1CCCN(CCC1)N=O,1
C1CCN(CC1)N=O,1
C1CN(CC=C1)N=O,1
C1CN(P(=O)(OC1)NCCCl)CCCl,0
C1COC(=O)N1N=O,1
C1COCCN1N=O,1
C=C(Cl)Cl,0
C=CC#N,1
C=CC(=C)Cl,1
C=CC1=CC=CC=C1,0
C=CC=C,1
C=CCN(CC=C)N,1
C=CCl,1
C=CF,0
CBr,1
CC(=C)C=C,1
CC(=O)CNCC(C(N=O)O)O,1
CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2=O,0
CC(=O)NC1=NN=C(S1)C2=CC=C(O2)[N+](=O)[O-],1
CC(=O)OC(C=C)C1=CC2=C(C=C1)OCO2,1
CC(=O)OC=C,1
CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)[C@@H]5C[C@@H]5[C@]34C)Cl)C)OC(=O)C,1
CC(C(C1=CC=CC=C1)O)N(C)N=O,1
CC(CCl)OC(C)CCl,1
CC(CN(C(=O)N)N=O)O,1
CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O,0
CC/C=C/C=C/C=C/C=C/C=C/OC[C@H](CO)O,1
CC1=C(C=C(C=C1)N)N,0
CC1=C(C=CC(=C1)CC2=CC(=C(C=C2)N)C)N,0
CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C,0
CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,0
CC1=CC(=C(C=C1)O)N=NC2=CC=C(C=C2)NC(=O)C,1
CC1=CC=CC=C1[N+](=O)[O-],0
CC1=CN=C2C=CC3=C(C2=N1)N=C(N3C)N,0
CC1=NC=C(N1CCO)[N+](=O)[O-],0
CC1CN(CC(O1)C)N=O,1
CC1CN(CCO1)N=O,1
CC=NN(C)C=O,1
CCC(=O)N(C1=CC=C(C=C1)/C=C/C2=CC=CC=C2)O,0
